"s","o"
"http://dbpedia.org/resource/Zadilske","Zadilske (Ukrainian: Заді́льське) – remote selo (village) in Skole Raion, Lviv Oblast, of western Ukraine.  Local government is administered by Zadilska village council."
"http://dbpedia.org/resource/Zashkovychi","Zashkovychi (Ukrainian: За́шковичі) is a village (selo)  in the Lviv Oblast (province) of Western Ukraine.The village is small and has an area of 2,14 km2 and population of the village is around 552 persons.Local government is administered by Zavydovytska village council."
"http://dbpedia.org/resource/Zhvanets","Zhvanets (Ukrainian: Жванець) is a village (a selo) in the Kamianets-Podilskyi Raion (district) of Khmelnytskyi Oblast in Western Ukraine. The village's population was 1,529 as of the 2001 Ukrainian census."
"http://dbpedia.org/resource/Čtveřín","Čtveřín (German Stwerschin, auch Stwerzin) is a village and municipality (obec) in Liberec District in the Liberec Region of the Czech Republic. It is four kilometers west of Turnov."
"http://dbpedia.org/resource/Ōnoyama-kōen_Station","Ōnoyama-kōen Station (奥武山公園駅, Ōnoyamakōen-eki, lit. ""Ōnoyama Park Station"") is railway station on the Okinawa Monorail in Naha, Okinawa Prefecture, Japan."
"http://dbpedia.org/resource/Šimonovice","Šimonovice is a village and municipality (obec) in Liberec District in the Liberec Region of the Czech Republic. The municipality covers an area of 7.19 square kilometers (2.78 sq mi) and has a population of 1033 (as of December 2013)."
"http://dbpedia.org/resource/Akil_Municipality","Akil Municipality (Yucatec Maya: ""place of the vines"") is one of the 106 municipalities in the Mexican state of Yucatán containing (48.54 km2) of land and is located roughly 100 kilometres (62 mi) southeast of the city of Mérida."
"http://dbpedia.org/resource/All_Saints'_Church,_Four_Oaks","All Saints' Church, Four Oaks is a Grade II* listed  Church of England parish church in Birmingham."
"http://dbpedia.org/resource/All_Saints_Church,_Twickenham","All Saints Church, Twickenham is a Church of England church on Campbell Road in Twickenham in the London Borough of Richmond upon Thames. Its vicar and parish priest is Fr Alex Lane SSC."
"http://dbpedia.org/resource/Ayathil","Ayathil (Malayalam: അയത്തില്‍) is a neighbourhood in Vadakkevila zone of Kollam city, Kerala, India. It is the 36th ward in Kollam Municipal Corporation. It is one of the cashew processing hubs in Kollam city. Kerala State Cashew Development Corporation Limited has a factory there. Kollam Bypass passes through Ayathil."
"http://dbpedia.org/resource/Bagmusha","Bagmusha is a village of Hajipur Block and Tirhut Division of Bihar.Bagmusha is very nearest of Hajipur junction and NH 19."
"http://dbpedia.org/resource/Balaji_Dental_and_Craniofacial_Hospital","Balaji Dental and Craniofacial Hospital is a leading, multi-specialty dental and surgical care center based in Chennai, Tamil Nadu, India. It was founded by Dr. S.M Balaji in 1994."
"http://dbpedia.org/resource/Barlingbo","Barlingbo is a settlement in the central part of the island of Gotland, Sweden. It is mostly known for the Stafva Manor, the largest cheese producer, and once one of the largest farms, on Gotland."
"http://dbpedia.org/resource/Barvala-Baval","Barvala-Baval is a small village in Amreli district of the Saurashtra region in the state of Gujarat, India. Barvala-Baval is situated 60 km from Amreli, 5 km from Vadiya, 35 km from Gondal, 80 km from Rajkot, 25 km from Virpur and 28 km from Jetpur.The village is on border of three district of Saurashtra Amreli, Rajkot and Junagadh. The population of village is around 2500.The People is village are connected to various business like Diamond, Embroidery, Construction, Medicines, Agriculture and many more.Barvala-Baval is the village in which all cast people live with their pride and believe in Vasudhaiv-Kutumbkam.Some of Big Families of Village:-Ramani, Paghdal, Sojitra, Bhuva, Donga, Movaliya, Vaghasiya, Radadiya, Gajera, Dhaduk, Thummar, Chauhan, Padaya, etc."
"http://dbpedia.org/resource/Bealsville,_Florida","Bealsville, originally named Howell's Creek, is an unincorporated community in southeastern Hillsborough County, Florida,  United States, between Plant City and Lithia near the intersection of Horton Road and Florida State Road 60."
"http://dbpedia.org/resource/Bonghwa-eup","Bonghwa is a town, or eup in Bonghwa County, North Gyeongsang Province, South Korea. The township Bonghwa-myeon was upgraded to the town Bonghwa-eup in 1979. Bonghwa County Office and Bonghwa Town Office are located in Naeseong-ri, which is crowded with people."
"http://dbpedia.org/resource/Borum","Borum is a village in Aarhus Municipality, Central Denmark Region in Denmark. Borum is situated 2.5 kilometres south of Sabro and 3 kilometres west of the Aarhus suburb of Tilst and has 330 inhabitants as of 2015. About 2 kilometres west of Borum is the village of Herskind.The village has an active community centered around the village hall, with amateur theatre, film club, choir, cooking, gymnastics, markets, etc.. Just south of Borum is the stream of Lyngbygård Å. The stream feeds Årslev Engsø and the Aarhus River and parts of the river valley has recently been environmentally restored and reconstructed, with nature paths and trails."
"http://dbpedia.org/resource/Buctzotz_Municipality","Buctzotz Municipality (Yucatec Maya: ""dress made of hair"") is one of the 106 municipalities in the Mexican state of Yucatán containing (543.45 km2) of land and is located roughly 95 kilometres (59 mi) northeast of the city of Mérida.It contains several churches and a hospital, Centre de Salud Buctzotz, in the eastern part of the main town."
"http://dbpedia.org/resource/Burjeel_Hospital","Burjeel Hospital is Abu Dhabi’s largest private tertiary hospital and is part of the  VPS Healthcare group is a Private Tertiary Hospital located in Abu Dhabi, UAE.  Clancey Po is the chief executive."
"http://dbpedia.org/resource/Calotmul_Municipality","Calotmul Municipality (Yucatec Maya: ""place of two conjoined hills"") is one of the 106 municipalities in the Mexican state of Yucatán containing (361.50 km2) of land and is located roughly 185 kilometres (115 mi) east of the city of Mérida."
"http://dbpedia.org/resource/Cantamayec_Municipality","Cantamayec Municipality (In the Yucatec Maya Language: ""four tamay (Zuelania guidonia) trees"") is one of the 106 municipalities in the Mexican state of Yucatán containing  (502.02 km2) of land and located roughly 110 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Cascina_Increa","Cascina Increa is a farmhouse located on the southeastern border of Brugherio, Italy. It enjoys the protection of the Soprintendenze per i Beni Architettonici e Paesaggistici i.e, the Ministry of Cultural Heritage and Activities and Tourism (MiBACT) of its respective province because of its surviving Renaissance architecture."
"http://dbpedia.org/resource/Castle_Heights,_Los_Angeles","Castle Heights is a neighborhood on the Westside of the city of Los Angeles, California.Founded in 1922, the neighborhood contains roughly 900 single-family residences, along with multi-family apartments and condominiums with a limited amount of commercial properties."
"http://dbpedia.org/resource/Cathedral_of_St_Nicholas,_České_Budějovice","The Cathedral of St Nicholas is a Roman Catholic cathedral located in the city of České Budějovice in the Czech Republic."
"http://dbpedia.org/resource/Celestún_Municipality","Celestún Municipality (Yucatec Maya: ""terror of stone"") is one of the 106 municipalities in the Mexican state of Yucatán containing (868.63 km2) of land and is located roughly 105 kilometres (65 mi) west of the city of Mérida."
"http://dbpedia.org/resource/Cenotillo_Municipality","Cenotillo Municipality (Yucatec Maya: ""little cenote"") is one of the 106 municipalities in the Mexican state of Yucatán containing (614.43 km2) of land and is located roughly 115 kilometres (71 mi) east of the city of Mérida."
"http://dbpedia.org/resource/CeresByen","CeresByen (English: CeresCity) is a neighborhood in the district Midtbyen in the city of Aarhus, Denmark. The neighborhood is a planned mixed use community developed on a former industrial site which was rezoned in 2008. CeresByen is delimited by the streets Thorvaldsensgade, Silkeborgvej, Dollerupvej and Ceres Allé. The name references to the former Ceres Brewery which previously inhabited the site since the 1850s for over 150 years.The area will be characterized by densely situated buildings, high-rises and large park along the Aarhus River. Architecturally the area will be modern while taking into account the proximity of Den Gamle By, the historic 19th century buildings of the Ceres Brewery and the Ceres Park along the river. The Ceres Panorama residential building will be one of the tallest in the city when construction is done."
"http://dbpedia.org/resource/Chacsinkín_Municipality","Chacsinkín Municipality (Yucatec Maya: ""firewood reddened by time or plant of the red flowers"") is one of the 106 municipalities in the Mexican state of Yucatán containing (158.40 km2) of land and is located roughly 120 kilometres (75 mi) southeast of the city of Mérida."
"http://dbpedia.org/resource/Chak_Amru","Chak Amru (Urdu:   چک امرو  ‎) is a town of Shakargarh tehsil in Narowal district of Punjab province of the Pakistan.   It is located near Pakistan-India border."
"http://dbpedia.org/resource/Chankom_Municipality","Chankom Municipality (In the Yucatec Maya Language: “little ravine”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (137.95 km2) of land and located roughly 135 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Chapel_of_the_Sisters_of_the_Poor_Clares,_Bydgoszcz","The Chapel of the Sisters of the Poor Clares is a church in downtown Bydgoszcz."
"http://dbpedia.org/resource/Chichimilá_Municipality","Chichimilá Municipality (In the Yucatec Maya Language: “hard to see or recognize”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (358.59 km2) of land and located roughly 170 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Chikindzonot_Municipality","Chikindzonot  Municipality (In the Yucatec Maya Language: “cenote in the west”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (352.56 km2) of land and located roughly 170 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Christ_Church,_Quinton","Christ Church, Quinton is a Grade II listed parish church in the Church of England in Birmingham."
"http://dbpedia.org/resource/Christ_Church,_Summerfield","Christ Church is a Grade II listed parish church in the Church of England in the Summerfield district of Birmingham."
"http://dbpedia.org/resource/Christ_Church,_Yardley_Wood","Christ Church, Yardley Wood is a Grade II listed parish church in the Church of England in Birmingham."
"http://dbpedia.org/resource/Chumayel_Municipality","Chumayel Municipality (In the Yucatec Maya Language: “place of seeds"") is one of the 106 municipalities in the Mexican state of Yucatán containing (45.99 km2) of land and is located roughly 80 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Church_of_Our_Lady_and_St_Rose_of_Lima,_Weoley_Castle","The Church of Our Lady and St Rose of Lima, Weoley Castle is a Roman Catholic parish in the Archdiocese of Birmingham."
"http://dbpedia.org/resource/Church_of_St._Constantine_and_Helena_(Caracas)","Church of St. Constantine and St. Helena, located in El Hatillo at the south-east of Caracas. It was donated by the Orthodox Church of Venezuela and the Government of Romania to the Orthodox community living in the capital of Venezuela. The land for its construction was donated by the Mayor. There are only 15 religious temples of its kind in the world and only two of them are outside Romania. It was built by craftsmen from Maramures district in Transylvania, it was assembled without nails or metal objects in the structure and it's adorned with religious neo-byzantine paintings. The bell tower rises more than 30 meters. All the pieces of wood for ceilings and walls, were brought from Romania, according sacred traditions to avoid similarities with the hardware and martyrdoms of the crucifixion.It was inaugurated in 1999 and took part in the act Teoctist Arăpașu, Patriarch of the Romanian Orthodox Church at that time. It was decorated by Titiana Nitu Popa and Mihaela Profiriu. The structure is intended to be a replica of the wooden church of Șurdești, the highest in Romania. The dome is a pictorial representation of Our Lady of Coromoto, patron saint of Venezuela."
"http://dbpedia.org/resource/Church_of_the_Nativity_of_Mary,_Naxxar","The Church of the Nativity of Mary is a Roman Catholic baroque parish church located in Naxxar, Malta."
"http://dbpedia.org/resource/Copiapó_Solar_Project","The Copiapó Solar Project is a 260 megawatt (MW) net solar thermal power project to be located near Copiapó, about 65 kilometers east of the coastal town of Caldera. The project is being developed by SolarReserve., and is scheduled to reach commercial operation in 2019.The Copiapó project will comprise two 120 megawatt (MW, 130 MW gross) solar thermal towers with up to 14 hours thermal storage, combined with 150 MW of PV. The hybrid project will deliver over 1,700 gigawatt hours (GW·h) annually, as non-intermittent baseload power, 24 hours a day. The project uses heliostat mirrors that collect and focus the sun's thermal energy to heat molten salt flowing through a solar power tower. The molten salt circulates from the tower to a storage tank, where it is then used to produce steam and generate electricity. Excess thermal energy is stored in the molten salt and can be used to generate power for up to fourteen hours, including during the evening hours and when direct sunlight is not available. The project's solar tower component technology is based on the SolarReserve Crescent Dunes Solar Energy Project in the US.The project is expected to cost $2 billion,The Copiapó Solar project was submitted to a full environmental assessment under the Chilean system of Environmental Impact Assessment (SEIA) administered by the Department of Environmental Assessment (SEA), and received an Environmental Qualification Resolution (RCA), as it is called the Chilean environmental permit, on August 19, 2015.The hybrid concept combines two or more energy conversion mechanisms, that integrated, overcome limitations inherent in either. The purpose is to provide a high level of energy security and reliability through the integrated mix of complementary generation methods. Specifically, photovoltaics, to date, has a lower cost if one ignores the dispatchability question, that instead is solved by the solar thermal component."
"http://dbpedia.org/resource/Cuncunul_Municipality","Cuncunul Municipality (In the Yucatec Maya Language: “enchanted by others or vanity”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (315.52 km2) of land and located roughly 145 km east of the city of Mérida."
"http://dbpedia.org/resource/Daegaya-eup","Daegaya is a town, or eup in Goryeong County, North Gyeongsang Province, South Korea. The township Goryeong-myeon was upgraded to the town Goryeong-eup in 1979, and it was renamed Daegaya-eup in 2015. Goryeong County Office is located in Jisan-ri, and Daegaya Town Office is in Kwaebin-ri which is crowded with people."
"http://dbpedia.org/resource/Dzemul_Municipality","Dzemul Municipality (In the Yucatec Maya Language: “ravaged mound” is one of the 106 municipalities in the Mexican state of Yucatán containing  123.91 square kilometres (47.84 sq mi) of land and located roughly 47 kilometres (29 mi) northeast of the city of Mérida. There is a large Mayan archaeological site called Xcambo, which is used as a place of worship as there is a chapel built above the Mayan remains."
"http://dbpedia.org/resource/Dzilam_González_Municipality","Dzilam González Municipality (In the Yucatec Maya Language: ""peeling"" combined with the Spanish surname ""González"") is one of the 106 municipalities in the Mexican state of Yucatán containing 545.45 square kilometres (210.60 sq mi) of land and located roughly 90 kilometres (56 mi) northeast of the city of Mérida. It is located in the former Province of Ah Kin Chel Province to the north of Izamal, about 10 kilometres (6.2 mi) inland from the coast. It was once the port of Dzilam whih has now receded inland is known as Dzilam González. The agricultural produces of the area are corn, onions, beans and fruit."
"http://dbpedia.org/resource/Dzilam_de_Bravo_Municipality","Dzilam de Bravo Municipality (In the Yucatec Maya Language: “fierce peeling” is one of the 106 municipalities in the Mexican state of Yucatán containing  (241.43 km2) of land and located roughly 107 km northeast of the city of Mérida."
"http://dbpedia.org/resource/Dzitás_Municipality","Dzitás Municipality (In the Yucatec Maya Language: “plant name: mamay or plantain"") is one of the 106 municipalities in the Mexican state of Yucatán containing (456.03 km2) of land and is located roughly 125 km east of the city of Mérida."
"http://dbpedia.org/resource/Dzán_Municipality","Dzán Municipality (In the Yucatec Maya Language: “plunge or sunken"") is one of the 106 municipalities in the Mexican state of Yucatán containing (61.31 km2) of land and is located roughly 95 km south of the city of Mérida."
"http://dbpedia.org/resource/Empire_Flat,_Arizona","Empire Flat was a steamboat landing at Empire Flat on the east shore of the Colorado River, within Parker Strip, Arizona, in La Paz County, Arizona."
"http://dbpedia.org/resource/Entrepeñas_Reservoir","Entrepeñas is a reservoir located on the Tagus River in the Alcarria Baja region of Guadalajara, Spain. It was completed in 1956.Apart from the Tagus, it also receives water from the Valdetrigo, Barranco Grande, Solana, and Ompólveda rivers, among others. The dam structure is situated next to the town of Entrepeñas, from which it took its name, between the municipal districts of Sacedón and Auñón.The towns of Auñón, Durón, Pareja, and Sacedón are located on the banks of the reservoir, as are the residential areas of Las Anclas, Las Brisas, Peñalagos, and El Paraiso. Entrepeñas forms part of the so-called Sea of Castile (Spanish: Mar de Castilla), together with the reservoirs of Buendía, Bolarque, Zorita, Almoguera, and Estremera.The surface area of the reservoir measures 3,213 hectares (12.41 square miles), and it can hold a total of 835,000,000 cubic meters (677,000 acre feet).In conjunction with the Buendía Reservoir, it supplies the Tagus-Segura Water Transfer."
"http://dbpedia.org/resource/Fiscaglia","Fiscaglia is a comune (municipality) in the Province of Ferrara in the Italian region Emilia-Romagna, located about 60 kilometres (37 mi) northeast of Bologna and about 30 kilometres (19 mi) east of Ferrara. It was founded in 1 January 2014 from former municipalities of Massa Fiscaglia, Migliarino and Migliaro."
"http://dbpedia.org/resource/Furillen","Furillen (older spelling Furilden) is an island on the northeast coast of Gotland, Sweden. For most of the 20th century, there was a limestone industry on the island until it was closed to the public by the Swedish military in the 1970s–90s, when radar installations became operational. The north part of Furillen is a nature reserve and a Natura 2000 area."
"http://dbpedia.org/resource/Gemini_Wind_Farm","Gemini is a 600 megawatt (MW) offshore wind farm being built off the coast of the Netherlands. Construction started in 2015 with final commissioning expected in 2017."
"http://dbpedia.org/resource/Grace_Church_(Kilmarnock,_Virginia)","Grace Church of Kilmarnock, Lancaster County, Virginia is the largest rural Episcopal church in the Commonwealth."
"http://dbpedia.org/resource/Gunwi-eup","Gunwi is a town, or eup in Gunwi County, North Gyeongsang Province, South Korea. The township Gunwi-myeon was upgraded to the town Gunwi-eup in 1979. Gunwi County Office and Gunwi Town Office are located in Dongbu-ri, which is crowded with people."
"http://dbpedia.org/resource/Haddowali","Haddowali (Urdu : ہدووالی) is a village of Pakistan, situated in District Attock and Tehsil Jand. It is located neer Makhad sharif which is situated on the bank of River Sindh. Haddowali is the last village of tribe Saghri khattak of area Narrah."
"http://dbpedia.org/resource/Haidernagar_block","Haidernagar block is one of the administrative blocks of Palamu district, Jharkhand state, India."
"http://dbpedia.org/resource/Hocabá_Municipality","Hocabá Municipality (In the Yucatec Maya Language: “picking plums” is one of the 106 municipalities in the Mexican state of Yucatán containing  81.75 square kilometres (31.56 sq mi) of land and located roughly 45 kilometres (28 mi) southeast of the city of Mérida."
"http://dbpedia.org/resource/Horishnia_Vyhnanka","Horishnia Vyhnanka (Ukrainian: Горі́шня Ви́гнанка) is a village located in the Chortkiv Raion (district) of the Ternopil Oblast (province of Western Ukraine). The population of the village is 1202 people and covers an area of 16.53 km2Local government is administered by Horishnovyhnanska village council. Perekhody village belongs to Horishnovyhnanska village council."
"http://dbpedia.org/resource/Huhí_Municipality","Huhí Municipality (In the Yucatec Maya Language: “place of the iguanas” is one of the 106 municipalities in the Mexican state of Yucatán containing 191.61 square kilometres (73.98 sq mi) of land and located roughly 70 kilometres (43 mi) southeast of the city of Mérida. It is bounded on the north by Sanahcat, on the south by Sotuta and Tekit, and on the east and west by Kantunil Homún."
"http://dbpedia.org/resource/Hôtel_d'Europe","The Hôtel d'Europe is a five star hotel located in the old historical part of Avignon, in Provence, France. It has been a hotel since 1799 and is therefore considered to be one of the oldest hotels in France."
"http://dbpedia.org/resource/Improv_Comedy_Mumbai","Improv Comedy Mumbai is an Indian improv comedy troupe. The group was founded by Adam Dow who was originally a member of Unexpected Productions in Seattle. It was one of the first improv troupes in the country."
"http://dbpedia.org/resource/Jadrija","Jadrija 43°43′33.11″N 15°50′35.86″E is a popular seaside resort located on a man made peninsula at the entrance of the Saint Anthony channel leading to Šibenik in Croatia. It got its name from the island of Saint Andreas (Sveti Andrija) that was connected in 1922 to the mainland by man and an official seaside resort for the town of Šibenik was founded. At the end of the peninsula a lighthouse of St.Andrea was built in 1871 by Austrian-Hungarian Empire. The lighthouse stands opposite to the fortress of St. Nicholas Fortress at the other side of the Saint Anthony channel built during 1535-1550.Officially a part of Šibenik Jadrija is one of the best places in Croatia to wind surf. Many locals have their summerhouses here.Nearby places to Jadrija are Vodice and SrimaNumber of nearby islands (Zlarin, Prvić, Žirje and Kaprije) are ideal for day trips going by public boat from Šibenik.Closest national park is Krka National Park"
"http://dbpedia.org/resource/James_the_Greater_Church","The James the Greater Church (Dutch: Jacobus de Meerderekerk) is a Roman Catholic church, located on the Pastoor Neujeanstraat 6 in Bocholtz, Netherlands. First mentioned in the 14th century, the current church was built in 1869 by Pierre Cuypers. It was extended by Harry Koene in 1953, creating a larger choir, and adding an apse and sacristy. The building has been in continues use as a parish church for the Bocholtz saint James the Greater parish since 1873. The church holds a relic of pope Cornelius, which was subject of a yearly pilgrimage during the early and mid 20th century, and was listed as a national monument in 1967."
"http://dbpedia.org/resource/Jhok_Mehar_Shah","Jhok Mehar Shah is a great village in Union council Punjgirain Tehseel Darya Khan District Bhakkar Punjab Pakistan.It is named against syed Mehar Shah  who were three brothers named Laal Shah, Qalander and Mehar Shah.There is village on each brother name called Jhok Mehar Shah, Jhok Qalander Shah and Jhok Laal Shah.It is located on east bank of Indus River and 4 Km from Punjgirain in west.It has the population approximately 1000.There is a Great Mosque Jafria and Imam Bargah Qaser e Abbas a.s and Jhangi Hazrat Abbas a.s.A govt. Primary School for boys is also here.Main cast here are kumhar, Syed, Noon, Jhunj, Gorai, Babhan, Machi, Dirkhan, Muhana.People of Jhok Mehar Shah are charming, beautiful, religious, hardworker and great.Main profession is former. Other are militry job and cival and govt jobs and labour."
"http://dbpedia.org/resource/Juanita_E._Thornton/Shepherd_Park_Neighborhood_Library","Juanita E. Thornton/Shepherd Park Neighborhood Library is part of the District of Columbia Public Library (DCPL) System. It was opened to the public on July 29, 1990. The library was named in honor of Juanita E. Thornton (December 25, 1912 – September 14, 1990), a teacher and community activist."
"http://dbpedia.org/resource/Kamargoria","Kamargoria (English pronunciation: /kamargoria/) is a village in Burdwan district of West Bengal, India."
"http://dbpedia.org/resource/Kancha","Kancha is a village panchayat located in the Samastipur district of Bihar state, India. The latitude 25.639962 and longitude 85.7589743 are the geocoordinate of the Kancha. Patna is the state capital for Kancha village. It is located around 63.1 kilometer away from Kancha. The other surrounding state capitals are Ranchi 257.2 km, Gangtok 340.9 km, Kolkata 431.5 km, The surrounding nearby villages and its distance from Kancha are Bangraha 2.2 km, Garhsisai 2.8 km, Badauna 5.2 km, Harpur Bochaha 5.3 km, Sahit 6.3 km, Sherpur Dhepura 10.0 km, Vidyapati Nagar 24.8 km, Maniyarpur, Simari."
"http://dbpedia.org/resource/Kandorsona","Kandorsona( Bengali : কাঁন্দোরসোনা ) is a village in the Bardhaman district of the Indian state of West Bengal. Its population is nearly 3362. Kandorsona is 10 km away from the town of Bardhaman, and 1.5 km from Gangpur Station. It is known for its sweets, especially Saktigarh’s famous Langcha (Bengali: ল্যাংচা). There are many temples, one cold store, two rice mills, one biscuit factory, one brick factory, several grocery shops and other shops, one petrol pump, two roadside hotels, one medicine shop, one dispensary for people and one dispensary for animals."
"http://dbpedia.org/resource/Karavilai","Karavilai is a place in Marthandam  in Kanniyakumari district in the Indian state of Tamil Nadu. Karavilai comes under town panchayat of Nallur(Nalloor), Kanyakumari District. The area is full of greenery and there is passage of shallow of water in the region. Soil found around Marthandam is one of the most fertile lands of Tamil Nadu and the region has the climatic conditions of Kerala. Tamil is the official language of this region however, most of the people understand Malayalam since it is located neighbouring Kerala."
"http://dbpedia.org/resource/Kaua_Municipality","Kaua Municipality (Yucatec Maya: ""is it bitter?"") is one of the 106 municipalities in the Mexican state of Yucatán containing (214.60 km2) of land and is located roughly 135 kilometres (84 mi) southeast of the city of Mérida."
"http://dbpedia.org/resource/Keshabpur","Keshabpur is a census town under Domjur police station in Sadar subdivision of Howrah district in the Indian state of West Bengal."
"http://dbpedia.org/resource/Kinchil_Municipality","Kinchil Municipality (Yucatec Maya: ""Place of the god Kinich"") is one of the 106 municipalities in the Mexican state of Yucatán containing (160.95 km2) of land and is located roughly 35 kilometres (22 mi) west of the city of Mérida."
"http://dbpedia.org/resource/Kirchensur","Kirchensur is a village in the municipality of Amerang in the district of Rosenheim in Bavaria, Germany."
"http://dbpedia.org/resource/Kizawa_Memorial_Hospital","Kizawa Memorial Hospital (木沢記念病院, kizawa kinen byouin) is a semi-public non-for-profit general hospital located in central Japan. It is the flagship hospital of the Koseikai Health System (社会医療法人厚生会shakai iryo hojin koseikai). It serves the cities of Minokamo, Kani and surrounding municipalities with a combined population of more than 200,000 persons. It is one of the eight major centers for urgent care and disaster response designated by the Gifu Prefectural Government.The hospital was founded in 1913 as The Recovery Clinic (回生院 Kaisei-In). By 1952, the clinic had become a small hospital (23 beds) and was renamed Kizawa Hospital after the founder. In 1966, the hospital had grown to 190 beds. The current hospital has 452 beds. In 2012, the hospital was ranked #17 nationwide in the private non-profit category."
"http://dbpedia.org/resource/Kopomá_Municipality","Kopomá Municipality (Yucatec Maya: ""low or sunken water"") is one of the 106 municipalities in the Mexican state of Yucatán containing (260.59 km2) of land and is located roughly 50 kilometres (31 mi) sourhwest of the city of Mérida."
"http://dbpedia.org/resource/Krasnozatonsky","Krasnozatonsky (Russian: Краснозатонский; Komi: Гӧрд Затон) is an urban locality (an urban-type settlement) under the administrative jurisdiction of the city of republic significance of Syktyvkar in the Komi Republic, Russia. As of the 2010 Census, its population was 8,603."
"http://dbpedia.org/resource/Kulchytsi","Kulchytsi (Ukrainian: Ку́льчиці, historic name — Кульчачке, Кольчиці, Polish: Kulczyce) is a village (selo), which is located in Sambir Raion, Lviv Oblast, of Western Ukraine.The  estimated population is around 1,639. Local government is administered by Kulchytska village council."
"http://dbpedia.org/resource/L&T_Realty","L & T Realty is the real estate development arm of Larsen & Toubro Limited. L & T Realty has a presence across Western India, South India and in Chandigarh. The Company undertakes various projects encompassing the construction of residential, corporate office, retail, leisure and entertainment spaces. The Company has 35 million sq.ft under various stages of development. The Company's head office is in Mumbai, India. Besides independent projects, L&T Realty also undertakes co-development projects."
"http://dbpedia.org/resource/LZ_experiment","The LUX-Zeplin (LZ) experiment is a WIMP detector.  The international collaboration constructing it formed in 2012 by combining the LUX and ZEPLIN groups.  It is to be located at the Sanford Underground Research Facility (SURF) in South Dakota, and managed by DOE’s Lawrence Berkeley National Lab (Berkeley Lab).  The LZ experiment is a next-generation dark matter direct detection experiment. When completed, the experiment will be the world’s most sensitive experiment for WIMPs (Weakly Interacting Massive Particles) over a large range of WIMP massesLZ is a collaboration of 30 institutes in the US, UK, Portugal and Russia. Dr Henrique Araújo from the Imperial College of London leads the UK team on LZ."
"http://dbpedia.org/resource/Lavriv,_Staryi_Sambir_Raion","Lavriv (Ukrainian: Лаврі́в) is a small village in Staryi Sambir Raion (district), Lviv Oblast (province) of Ukraine.The population of the village is just about 461 people, and local government is administered by Velykolinynska village council."
"http://dbpedia.org/resource/Madurankuliya_Wind_Farm","The Madurankuliya Wind Farm (also known as Narakkaliya Wind Farm, after its location) is a 12 MW wind farm located in Narakkaliya, bordering the Lakvijaya Power Station, in Narakkaliya, Puttalam, Sri Lanka. The wind farm is operated by Daily Life Renewable Energy (Pvt) Ltd, a subsidiary of WindForce (Pvt) Ltd, which owns most of the existing wind farms in the country. The facility consists of eight ReGen VENSYS 77 wind turbines of 1.5 MW each. With a hub height of 85 m (279 ft) and a rotor diameter of 82 m (269 ft), these turbines has rated wind speeds of 13 m/s (43 ft/s), despite the site only experiencing about 7.4 m/s (24 ft/s). The wind farm experiences air densities of 1.158 kg/m3 (0.072 lb/cu ft)."
"http://dbpedia.org/resource/Mant_Tehsil","Mat (Hindi: मांट) is a town and Tehsil in Mathura district of Uttar Pradesh, India. Mat is situated 23 kilometers from the city of Mathura and 15 km from Vrindavan City. It belongs to Agra Division."
"http://dbpedia.org/resource/Maní_Municipality","Maní Municipality (In the Yucatec Maya Language: “Place where everything happened"") is one of the 106 municipalities in the Mexican state of Yucatán containing (85.59 km2) of land and is located roughly 90 km south of the city of Mérida."
"http://dbpedia.org/resource/Mayapán_Municipality","Mayapán Municipality (In the Yucatec Maya Language: “flag of the Mayas"") is one of the 106 municipalities in the Mexican state of Yucatán containing (103.47 km2) of land and is located roughly 95 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Mocochá_Municipality","Mocochá Municipality (In the Yucatec Maya Language: “reflection of the knot in the water”) is one of the 106 municipalities in the Mexican state of Yucatán containing 57.48 square kilometres (22.19 sq mi) of land and located roughly 25 kilometres (16 mi) northeast of the city of Mérida."
"http://dbpedia.org/resource/Mshana,_Horodok_Raion","Mshana (Ukrainian: Мша́на) is a village (selo) in the Lviv Oblast (province) of western Ukraine. It is located in the Horodok district (Horodok Raion).The population of the village is about 2821 people and local government is administered by Mshanska village council."
"http://dbpedia.org/resource/Muna_Municipality","Muna Municipality (In the Yucatec Maya Language: “soft water"") is one of the 106 municipalities in the Mexican state of Yucatán containing (270.81 km2) of land and is located roughly 50 km south of the city of Mérida."
"http://dbpedia.org/resource/Muxupip_Municipality","Muxupip Municipality (In the Yucatec Maya Language: “buried bread”) is one of the 106 municipalities in the Mexican state of Yucatán containing 54.93 square kilometres (21.21 sq mi) of land and located roughly 30 kilometres (19 mi) northeast of the city of Mérida. It is bounded on the north by Motul town, on the south by Cacalchén Municipality and on the east and the west by Yaxkukul Municipality and Tixkokob Municipality."
