"s","o"
"http://dbpedia.org/resource/Medhat_Haroun","Medhat Haroun (Arabic: مدحت هارون‎, November 30, 1951 - October 18, 2012) was an Egyptian-American expert on earthquake engineering.  He wrote more than 300 technical papers and received the Charles Martin Duke Lifeline Earthquake Engineering Award (2006) and the Walter Huber Civil Engineering Research Prize (1992) from the American Society of Civil Engineers."
"http://dbpedia.org/resource/Meg_Mac","Meg Mac (born 6 July 1990) is an Australian singer-songwriter and musician based in Sydney. She is signed to 300 Entertainment."
"http://dbpedia.org/resource/Megi_Luka","Megi Luka (born in 1996, Fushë-Krujë) is an Albanian model and beauty pageant titleholder who was crowned Miss Universe Albania 2015 and will represent Albania at the Miss Universe 2015 pageant.On September 19, 2015, Luka was crowned Miss Universe Albania 2015 in Tirana, Albania. She also won the special award of Miss Social Media. Luka is the 13th winner of Miss Universe Albania since 2002 and the 12th Albanian representative at the Miss Universe. As Miss Universe Albania, she will compete at the Miss Universe 2015 pageant. Albania most recently placed in 2010 with Angela Martini of Tirana. Paulina Vega, Miss Universe 2014 of Colombia, will crown her successor at the end event."
"http://dbpedia.org/resource/Mehmet_Yanki_Yonel","Mehmet Yankı Yönel (born June 15 1976), is an Turk radio personalty, voice artist, dj, national advertisement voiceover. Best known for his internationally syndicated radio show Jelli Show (User Controlled Radio) and he still working on Metro FM and Super FM in Istanbul."
"http://dbpedia.org/resource/Mel_Casas","Melesio ""Mel"" Casas (November 24, 1929 – November 30, 2014) was a Chicano artist, activist, writer and teacher. He used visual statements, his sense of humor and love of puns to ""address cultural stereotypes."" His work has been collected by the San Antonio Museum of Art, Smithsonian American Art Museum, and nationally and internationally. He is best known for his series of 150 large-scale paintings called ""Humanscapes"" that were painted between 1965 and 1989. Casas was also well known as a writer and theorist. His ""Brown Paper Report"" is considered an important document of Chicano history. In his writing, he emphasized the importance of ""self-determination"" and equality for Chicanos/as. He is considered to be one of the important founders of the Chicano Arts movement. Casas felt that once artists had a fair chance to exhibit in the United States, then they would become part of ""Americana."""
"http://dbpedia.org/resource/Mel_Thompson","Mel Thompson (1946-, England) is an author, former teacher, editor and A level examiner. Mel Thompson writes book on Philosophy and Ethics for the general reader and for students."
"http://dbpedia.org/resource/Mela_Hudson","Mela Hudson (born July 24, 1987) is an American actress, and producer best known for her roles in Men in Black 3, The Sisterhood of Night, and Hits. Hudson made her producer debut in 2013 for such films as Presence, and Resident Evil: Red Falls, which was highly recognized by CAPCOM and the Resident Evil franchise."
"http://dbpedia.org/resource/Melanie_Harrold","Melanie Harrold is a British singer/songwriter, best known for her 1970s albums for DJM (Fancy That and Blue Angel) plus recording with Gerry Rafferty, and singing with Hank Wangford. In her early career, and even for her first album (Fancy That), Melanie went under the name Joanna Carlin so as not to be confused with the other singer Melanie."
"http://dbpedia.org/resource/Melanie_Harrold","Melanie Harrold is a British singer/songwriter, best known for her 1970s albums for DJM (Fancy That and Blue Angel) plus recording with Gerry Rafferty, and singing with Hank Wangford. In her early career, and even for her first album (Fancy That), Melanie went under the name Joanna Carlin so as not to be confused with the other singer Melanie."
"http://dbpedia.org/resource/Melina_Bath","Melina Gaye Bath (born 18 December 1966) is an Australian politician and former schoolteacher, who is a The Nationals member of the Victorian Legislative Council representing the Eastern Victoria Region.Bath studied a science degree and diploma of education at the University of Melbourne and was a mathematics and science teacher at Mirboo North Secondary College. Prior to teaching, she ran a health food store in Leongatha for twelve years. In March 2015, she was preselected by the National Party to replace Danny O'Brien, who had resigned his seat in the Legislative Council's Eastern Victoria Region to contest the lower house seat of Gippsland South at the Gippsland South state by-election, 2015, following the retirement of the long-standing MP,  Peter Ryan."
"http://dbpedia.org/resource/Melvin_Claxton","Melvin L. Claxton (born in 1958) is an American Pulitzer Prize-winning journalist, author and  entrepreneur. He is the founder and CEO of Epic 4D, an educational video game company. He has written extensively on crime, corruption, and the abuse of political power. He is best known for his 1995 series of investigative reports on corruption in the criminal justice system in the U.S. Virgin Islands and its links to the region's rampant crime rate. His series earned the Virgin Islands Daily News the Pulitzer Prize for Public Service in 1995. Another series by Mr. Claxton, this time on the failures of the criminal justice system in Detroit was a finalist for a Pulitzer Prize for Public Service in 2003. Claxton has won many prestigious national reporting awards and his work has been honored several times by the Associated Press managing editors."
"http://dbpedia.org/resource/Metal_Yoshida","Takaya Yoshida (吉田 貴哉, Yoshida Takaya,  born November 1, 1971, in Nonoichi, Kanazawa, Ishikawa Prefecture, Japan), better known as Metal Yoshida (吉田 メタル, Yoshida Metaru), is a Japanese actor and musician who is represented by the talent agency, Village, and belongs to Gekidan Shin Kan-sen. He is the bassist of the visual kei rock band, Ninjaman Japan, and is nicknamed Metal.Yoshida graduated from Kanazawa Nishioka High School and Higashiho Gakuen College. His wife is actress Hiromi Iwasaki."
"http://dbpedia.org/resource/Michael_A._Simon","Michael Alan Simon (born December 17, 1960) is an American television and film director, writer, and producer best known for his work on VH1 Storytellers, New Visions, and Ridiculousness."
"http://dbpedia.org/resource/Michael_Cogdill","Michael Cogdill (born George Michael Cogdill, June 11, 1961) is an American Journalist, Anchor, Novelist, Screenwriter, and Film producer.His work as a journalist has appeared on NBC’s Today Show, CNBC, MSNBC, and CNN. He has been the recipient of 29 Emmys and a National Edward R. Murrow Award."
"http://dbpedia.org/resource/Michael_O'Hara_(athlete)","Michael O'Hara (born 29 September 1996 in Kingston) is a Jamaican sprinter who specializes in the 200 metres."
"http://dbpedia.org/resource/Michael_Stephans","Michael Stephans (born June 9, 1945 in Miami, Florida) is a jazz drummer, writer, poet and college professor."
"http://dbpedia.org/resource/Michele_Palazzi","Michele Palazzi (born 27 November 1984) is an Italian documentary photographer born in Rome. In 2007 he gained a three-year master degree in Photography at the Scuola Romana di Fotografia. In 2013 he received the First Prize of Environmental Photographer of the Year Award by the Chartered Institution of Water and Environmental Management. Between 2012 and 2013 he started working on Black Gold Hotel a long term project about the modernization impact in Mongolia, which has been awarded with the First Prize in the Daily Life category - Stories of the World Press Photo 2015. He lives in Rome and he is represented by the Contrasto agency."
"http://dbpedia.org/resource/Michelle_Campi","Michelle Campi (born July 29, 1976) is an American artistic gymnast. As a member of the U.S. Women's Gymnastics team at the 1991 World Artistic Gymnastics Championships, she won a silver medal in the team competition. Campi was the alternate for the U.S. women's team at the 1992 Olympic Games in Barcelona."
"http://dbpedia.org/resource/Michelle_Donelan","Michelle Emma May Elizabeth Donelan (born 1984) is a British Conservative Party politician. She was elected at the general election in May 2015 as the Member of Parliament (MP) for the Chippenham constituency in Wiltshire, which includes the market towns of Bradford on Avon, Chippenham, Corsham, and Melksham, and the rural area between them with several villages."
"http://dbpedia.org/resource/Mickey_Singh","Harmanjit ""Mickey"" Singh  (born December 21, 1990) is an American singer, songwriter, producer, and dancer. His fusion of Punjabi and English music gained recognition through his landmark EP (extended play) titled ""Mick's Tape"" released on July 22, 2013. His different approach to Urban-Desi music has caught the attention of many.The popularity of his genre, which is compiled of American fusion mixed with Punjabi and a pinch of Jazz has been exponentially growing, especially among the youth."
"http://dbpedia.org/resource/Midori_Kono_Thiel","Midori Kono Thiel (born June 7, 1933 in Berkeley, California) is a Japanese American calligrapher based in Seattle. She grew up on Maui. She received her bachelor of arts and master of fine arts from the University of California, Berkeley. She has exhibited  at the De Young Museum, San Francisco; Tokyo Metropolitan Art Museum; Seattle Art Museum; Portland Art Museum; Henry Art Gallery, Seattle; Cheney Cowles Art Museum, Spokane; and the Wing Luke Museum of the Asian Pacific American Experience, Seattle.A Fall 2015 exhibit at the Wing Luke Museum features Kono's painting and calligraphy in combination with her daughter Tamiko's augmented reality art."
"http://dbpedia.org/resource/Miguel_Robles-Durán","Miguel Robles-Durán (born July 25, 1975, Mexico City, Mexico) is an urbanist, Assistant Professor of Urbanism at The New School / Parsons The New School for Design in New York City, and is co-founder of the non-profit Cohabitation Strategies, a cooperative for socio-spatial research, design and development based in Rotterdam, The Netherlands and New York City, USA."
"http://dbpedia.org/resource/Mihal_Ashminov","Michael Spasov Ashminov (Bulgarian: Михаил Спасов Ашминов; born March 27, 1982) is a Bulgarian chef and television personality. He is master chef of Zelen in South Korea. He is also currently a cast member in the variety show Please Take Care of My Refrigerator."
"http://dbpedia.org/resource/Miho_Ohwada","Miho Ohwada (大和田 美帆, Ōwada Miho, born August 22, 1983, in Tokyo, Japan) is a Japanese actress who is represented by the talent agency, Staff-plus."
"http://dbpedia.org/resource/Mike_Ansari","Mike Ansari (Formal: Mansour Ansari-Pour, Persian:منصور انصاری پور , born June 5, 1964) is an Iranian-New Zealand Personal Fitness Trainer, Life-coach, martial arts trainer and educator becoming widely known in New Zealand for his work in the rehabilitation of stroke victims and his groundbreaking work in the field of Body Mind and Spirit, Transformational Meditation and Mindfulness Practice. He is also an author and secular mystic."
"http://dbpedia.org/resource/Mike_Bleed_Da_BlockStarr","Michael K. Carlione (born August 22, 1982), better known by his stage name Mike Bleed Da BlockStarr or simply Mike Bleed, is an American rapper, songwriter, and actor from New Orleans, Louisiana.Michael started his musical career recording under the pseudonym Camaro Callione. Under the mentorship & guidance of the late Walter McCallon(Tre-8), who gave him his first opportunity to become a household name by letting him perform the chorus on McCallon's Toss It Up record from the 2 Hot 4 TV EP. Michael later changed his stage name to Michael Carlione, a nickname given to him by one of his father's friends. In 2008, Michael was first exposed to the major stage as a solo artist with his debut single BlockStarr at AllMusic which ultimately gained him a featured performance on BET's 106 & Park's Wild Out Wednesday. The single's video went on to being featured on MTV 2 and many other video shows & outlets. He has had many major company offerings, with a Distribution Deal from Universal Republic being the last.After a four year hiatus from the music industry, Michael changed his stage name for the second time to Mike Bleed Da BlockStarr, to better correspond with his self titled musical genre HipRock & RnBleed. His recent musical popularity came in with his New Orleans Saints based theme song Dats My Team,  originally released in 2012. In recent years, Michael has also started tapping into becoming a professional Actor being featured in a couple movies. He was casted in the short Entrepreneurs as Lucien Jenkins, and the Box Office film When the Game Stands Tall with the role of Cam's Cousin.In recent months Mike Bleed has released two singles entitled American Dream, and Burn Out"" along with an EP entitled BlockStarr Reloaded under his own independent Record Label ""BlockStarr Incorporated"". He's currently working on his forthcoming studio album Alter Ego: The Fallen Of Michael Carlione, set to release Spring of 2016."
"http://dbpedia.org/resource/Mike_Bundlie","Michael Bundlie (born April 6, 1975) is an American artist, producer, entrepreneur, author and publisher."
"http://dbpedia.org/resource/Mike_Johnson_(Louisiana_politician)","James Michael Johnson, known as Mike Johnson (born January 1972), is a constitutional attorney from Benton, Louisiana, who is a Republican member of the Louisiana House of Representatives for District 8 in northern Bossier Parish.Johnson was unopposed in the special election called for February 21, 2015 to select a successor to Jeff R. Thompson, a Republican who resigned the legislative seat to become a judge of the Louisiana 26th Judicial District Court for Bossier and Webster parishes. The election was cancelled when only Johnson filed for the seat."
"http://dbpedia.org/resource/Mike_Kerrigan_(American_politician)","Mike Kerrigan (born March 2, 1986) is candidate for Portage County, Ohio Commissioner.  He is seeking his first term in the position."
"http://dbpedia.org/resource/Mike_Scala_(artist)","Mike Scala (born August 16, 1988) is an American singer, songwriter and producer. Born and raised in Brooklyn, New York, Scala remains close to home and currently resides in the New York Metro Area.  He is best known for the completion of three world tours, selling over 28,000 records, his involvement with domestic and international charities, and setting a world record for the first live concert performed inside a glacier. His singles ""Fallin,"" ""Autumn Ashes,""  and ""Home"" have attained an international radio presence."
"http://dbpedia.org/resource/Mike_Scala_(artist)","Mike Scala (born August 16, 1988) is an American singer, songwriter and producer. Born and raised in Brooklyn, New York, Scala remains close to home and currently resides in the New York Metro Area.  He is best known for the completion of three world tours, selling over 28,000 records, his involvement with domestic and international charities, and setting a world record for the first live concert performed inside a glacier. His singles ""Fallin,"" ""Autumn Ashes,""  and ""Home"" have attained an international radio presence."
"http://dbpedia.org/resource/Mikhail_Men","Mikhail Alexandrovich Men (Russian: Михаил Александрович Мень; born November 12, 1960) is a Russian politician. He has served as Minister of Construction Industry, Housing and Utilities Sector since 2013. Previously Men was Deputy Governor of Moscow Oblast from 1999 to 2002, Deputy Mayor of Moscow from 2002 to 2005, and Governor of Ivanovo Oblast from 2005 to 2013. He is a son of Alexander Men."
"http://dbpedia.org/resource/Mikiko_Shiroma","Mikiko Shiroma (城間 幹子, Shiroma Mikiko) is a Japanese politician and the current mayor of Naha, the capital city of Okinawa Prefecture in Japan."
"http://dbpedia.org/resource/Mikiko_Shiroma","Mikiko Shiroma (城間 幹子, Shiroma Mikiko) is a Japanese politician and the current mayor of Naha, the capital city of Okinawa Prefecture in Japan."
"http://dbpedia.org/resource/Mikki_Norris","Mikki Norris (born July 18, 1952) is an American author, human rights activist and publisher known for her work highlighting the human cost of the US War on Drugs. She co-authored, with husband Chris Conrad and Virginia Resner, Shattered Lives: Portraits From America's Drug War and Human Rights and the US Drug War. Norris was also the co-founder, managing editor, and publisher of the West Coast Leaf, the ""cannabis newspaper of record"" for the West Coast of the United States from 2008 to 2013. The newspaper has gone digital, and is now The Leaf Online."
"http://dbpedia.org/resource/Milen_Vrabevski","Milen Vrabevski is a Bulgarian businessman, philanthropist and patron of the arts. He is Founding Chairman of the Bulgarian Memory Foundation, established in 2007 to support educational initiatives focused on the values of national identity and European integration, as well as initiatives to preserve and popularize the Bulgaria’s history and cultural heritage. Milen Vrabevski is a member of the Clinton Global Initiative (2012) and European Citizens' Prize laureate (2013). He is the CEO and owner of Comac Medical – contract research organization providing development, management and control of R&D projects in clinical medicine."
"http://dbpedia.org/resource/Milot_Rashica","Milot Rashica (born 28 June 1996) is an Albanian footballer who plays as an attacking midfielder for Dutch club Vitesse."
"http://dbpedia.org/resource/Miloš_Meier","Miloš Meier (born 17 June 1984 in Jihlava, Czech Republic) is a Czech musician (drummer). However, the first musical instrument that he started to play was the piano. Although he was born in Jihlava, his whole life is connected with Hronov. In a survey of listeners and readers of Radio Beat and magazine Rock & Pop, he was selected a member of the Czech supergroup together with Michal Pavlíček, Kamil Střihavka, Vladimir Kulhánek, Roman Dragoun and Jan Hrubý."
"http://dbpedia.org/resource/Milton_Mendes","Milton Mendes (born 25 April 1965) is a Brazilian retired footballer who played mainly as a right back, and the current manager of Clube Atlético Paranaense.He spent the better part of his 18-year professional career in Portugal, representing nine and amassing Primeira Liga totals of 87 games and three goals over the course of five seasons. In 2002, he became a manager."
"http://dbpedia.org/resource/Minami_Kizuki","Minami Kizuki (城 南海, Kizuki Minami), born on 26 December 1989, is a Japanese pop and Shima-uta folk singer. She was born in Amami Ōshima, Kagoshima, Japan."
"http://dbpedia.org/resource/Minami_Takahashi_(voice_actress)","Minami Takahashi (高橋 未奈美, Takahashi Minami, born December 20) is a Japanese voice actress from Saitama Prefecture, Japan. She is affiliated with Tokyo Actor's Consumer's Cooperative Society."
"http://dbpedia.org/resource/Minami_Takahashi_(voice_actress)","Minami Takahashi (高橋 未奈美, Takahashi Minami, born December 20) is a Japanese voice actress from Saitama Prefecture, Japan. She is affiliated with Tokyo Actor's Consumer's Cooperative Society."
"http://dbpedia.org/resource/Minami_Tsukui","Minami Tsukui (佃井 皆美, Tsukui Minami, born December 18, 1987, in Saitama Prefecture, Japan) is a Japanese actress who is affiliated with Japan Action Enterprise. She is best known for her role as the character, Yoko Minato/Kamen Rider Marika, from the Kamen Rider series Kamen Rider Gaim."
"http://dbpedia.org/resource/Minnie_Dlamini","Minnie Dlamini is a South African TV presenter that shot to fame for succeeding Bonang Matheba as presenter on Live on SABC 1 and later had a minor role as Miranda in the soap Generations. She currently is a presenter on SABC1 popular sports show Soccer Zone alongside Thomas Mlambo.Career HighlightsMinnie Dlamini has hosted two categories at the 2015 BET awards 2015 alongside Sam Sarpong ,the BET International Act: AFRICA and BET International Act. She has also hosted the BET International Showcase at the renowned Grammy Museum in Los Angeles, CA.Minnie co-hosted the 14th Annual Metro FM Music Awards with T-Bo Touch live from Inkosi Albert Luthuli International Convention Centre (Durban ICC) on the 28th of February 2015.AwardsGeneration Next Coolest TV Star- 2013-2015YOU Spectacular Awards ""Most Stylish TV Star"" 2015Glamour Woman of the Year 2013'SA Style Star 2013Gsport style star ↑ ↑ ↑"
"http://dbpedia.org/resource/Mio_Takeuchi","Mio Takeuchi (竹内 実生, Takeuchi Mio, born March 8, 1985, in Tokushima Prefecture, Japan) is a Japanese actress who is affiliated with Suns Entertainment. She played the role of Sae Taiga (Gao White) in the 2001 Super Sentai series Hyakujuu Sentai Gaoranger."
"http://dbpedia.org/resource/Mircea_Buga","Mircea Buga (Romanian pronunciation: [Mɪʀt͡ʃe̯ɑ]; born 11 September  1968 in Chișinău) is the current Minister of Labour, Social Protection and Family."
"http://dbpedia.org/resource/Miru_Shiroma","Miru Shiroma (白間 美瑠, Shiroma Miru , born 14 October 1997 in Osaka Prefecture) is a member of the Japanese idol girl group NMB48. She is a member of NMB48's Team M."
"http://dbpedia.org/resource/Misako_Yasuda","Misako Yasuda (安田 美沙子, Yasuda Misako, born April 21, 1982, in Sapporo, Hokkaido, Japan) is a Japanese actress and former gravure idol who is represented by the talent agency, Artist-house Pyramid."
"http://dbpedia.org/resource/Misato_Nagano","Misato Nagano (長野 美郷, Nagano Misato, born November 27, 1986, in Miyoshi, Aichi, Japan) is a Japanese announcer who is represented by the talent agency Cent Force."
"http://dbpedia.org/resource/Mishal_Kanoo","Mishal Hamed Kanoo (Arabic: مشعل حامد كانو, born 25 February 1969) is the Deputy Chairman of The Kanoo Group based in UAE and Oman since 1997. He has made various lists as one of the world's richest Arabs."
"http://dbpedia.org/resource/Miss_Tati","Tatiana Palanca Pereira alias Miss Tati (born 1986 in Angola) is a Norwegian soul singer and dancer, with a background from Angola and Portugal, where she lived in Setúbal."
"http://dbpedia.org/resource/Mitsuko_Kusabue","Mitsuko Kusabue (草笛 光子, Kusabue Mitsuko, born October 22, 1933 in Yokohama) is a Japanese actress."
"http://dbpedia.org/resource/Mo_B._Dick","Raymond Poole aka ""Mo B. Dick""  (born July 4, 1965) better known by his stage name Mo B. Dick is an music producer, singer, American rapper. He is a founding member of the production team The Medicine Men (formerly Beats by the Pound), which produced most of No Limit Records' releases from 1995 to 1999."
"http://dbpedia.org/resource/Mo_Pitney","Morgan Daniel ""Mo"" Pitney (born March 24, 1993 in Cherry Valley, Illinois) is an American country music singer. In May 2014, he signed to Curb Records."
"http://dbpedia.org/resource/Moe_Miura","Moe Miura (三浦 萌, Miura Moe, born December 16, 1992, in Fukushima Prefecture, Japan) is a Japanese model, actress, and idol who is represented by the talent agency, Our Songs Creative. She was a former member of 9nine and was originally represented by LesPros Entertainment."
"http://dbpedia.org/resource/Mohammad_Motamedi","Mohammad Motamedi (Persian: محمد معتمدی‎‎; born 22 March 1978) is an Iranian traditional vocalist."
"http://dbpedia.org/resource/Mohammad_Motamedi","Mohammad Motamedi (Persian: محمد معتمدی‎‎; born 22 March 1978) is an Iranian traditional vocalist."
"http://dbpedia.org/resource/Mohammad_Reza_Domiri_Ganji","Mohammad Reza Domiri Ganji (محمد رضا دومیری گنجی)  December 1990 is an Iranian architectural, panoramic and tourist attraction photographer born in Tehran."
"http://dbpedia.org/resource/Mohammed_Rateb_al-Nabulsi","Mohammed Rateb Al-Nabulsi (Arabic: محمد راتب النابلسي‎) (born 1938) is a Syrian writer & Professor, and Islamic theologian, and Co-founder & manager (Nabulsi Encyclopedia of Islamic Science). He was a professor at Damascus University. He was living in Syria but after the Syrian Civil War started in 2011 he went to Jordan."
"http://dbpedia.org/resource/Mohini_Raaj_Puniya","Mohini Raaj Puniya is an Indian model, beauty pageant titleholder and an actress. She was crowned the first Glamanand Supermodel India in the year 2014."
"http://dbpedia.org/resource/Mohsin_Ali_Najafi","Mohsin Ali Najafi (Urdu:  محسن علی نجفی‎ Arabic:  محسن علی النجفی‎), Persian:  شیخ محسن علی نجفی‎‎)born January 1, 1938, is Pakistani Usuli Twelver Mufassirin Pakistan and the head of many of the seminaries (Hawzahs) and Uswa Education System in Pakistan."
"http://dbpedia.org/resource/Molly_Creamer","Molly Creamer (born September 25, 1981) is a former professional basketball player who was drafted in the first round of the 2003 WNBA Draft by the New York Liberty. She is the first player from the Patriot League to be drafted into the WNBA.Cramer played at West Morris Mendham High School."
"http://dbpedia.org/resource/Molly_Soda","Molly Soda is an American artist and internet personality. She works across a variety of digital platforms, producing videos, GIFs, zines, and web-based performance art. Her work explores the technological mediation of self-identity, contemporary feminism, culture, and perversion.Born in San Juan, Puerto Rico in 1989, Molly Soda grew up in Bloomington, Indiana. She studied at New York University, where she received a BFA in Photography and Imaging in 2011. Molly Soda started blogging as a teenager. In the late 2000s, her Tumblr blog began to attract attention beyond the Tumblr sphere, as it rose to prominence as one of the most influential sites on the platform. She became an iconic micro-celebrity, known for tween-confessions style art and for her widely-imitated personal aesthetic. In 2011, she was involved in the emergence of seapunk microculture, and became an occasional back-up dancer for techno-pop musician Grimes. One of Molly Soda's GIF's was shown at the  2012 MTV Music Video Awards.  In 2013 she was listed by Rolling Stone Magazine as ""one of 50 Things Millenials Know That Gen-Xers Don't"" and as the 24th most important artist of the year by Complex magazine. In that year she also sold work at the first digital art auction, curated by the Phillips art house.  She has continued to exhibit her work at American and British galleries.Molly Soda is currently centered in Detroit, Michigan. She remains active on Tumblr and Twitter, and now regularly publishes on Newhive, a website which combines social media with an art-production platform."
"http://dbpedia.org/resource/Momo_Kodama","Momo Kodama (born 1972) is a Japanese classical pianist. She was born in Osaka but grew up in Europe, attending the National Conservatory of Music in Paris with older sister Mari. She made her debut in 1991 with the Berkeley Symphony Orchestra and was the youngest winner of the International Piano Competition in Munich at age 19. Since then she has performed with various symphonic orchestras and cultural festival in Europe and Latin America and has released six recordings."
"http://dbpedia.org/resource/Momtaz_Begum-Hossain","Momtaz Begum-Hossain (Bengali: মমতাজ বেগম-হোসেন;) is a English freelance journalist Presenter and Craft Expert."
"http://dbpedia.org/resource/Monika_Radulovic","Monika Radulovic (born in 1991) is a Bosnian-Australian model and beauty pageant title holder who was crowned Miss Universe Australia 2015 and will represent Australia at the Miss Universe 2015 pageant."
"http://dbpedia.org/resource/Monique_Fessl","Monique Fessl (* May 2,1974 in St.Lorenzen/Mürztal)  is an Austrian music producer, composer, Techno – DJ, singer and media artist."
"http://dbpedia.org/resource/Mordechai_Rechtman","Mordechai Rechtman (Hebrew: מרדכי רכטמן‎; born 16 May 1926. — ) is an Israeli bassoonist, conductor, educator and arranger. Born in Wuppertal, Germany, he emigrated with his parents in 1933, arriving in Israel in 1934. He began playing the bassoon in 1938 at age 12 and began his professional career three years later, playing principal bassoon with the Palestine (now Israel) Opera, where he remained until 1945. He was awarded first prize at the 1947 Prague Festival, and from 1946 to 1991 he was principal bassoon with the Israel Philharmonic Orchestra. He was the only Israeli representative selected by Arthur Fiedler to join the World Symphony Orchestra which performed at the opening of Walt Disney World in October, 1971Rechtman has appeared as soloist with the Israel Philharmonic Orchestra and other leading orchestras in Israel and abroad, and in music festivals, such as Tanglewood, Spoleto, Marlboro and the Pablo Casals Music Festival in Puerto Rico. He founded the Israel Woodwind Quintet in 1963 and the Philharmonic Woodwind Ensemble, of which he was music director and conductor, in 1976. Rechtman has conducted many of Israel's major orchestras, such a the Israel Philharmonic Orchestra, Jerusalem Symphony, Sinfonietta Beer-Shiva, Kibbutz Chamber Orchestra, Tel-Aviv Academy of Music Orchestra, Israel Camerata Orchestra Jerusalem and many other ensembles. In 1976, he was named head of the woodwinds in the orchestra by Music Director Zubin Mehta.While pursuing his career as a bassoonist, Mordechai Rechtman has spent much time writing transcriptions and arrangements for wind quintet, wind instruments and large wind ensembles. His unique talent as an arranger has been highly acclaimed, and his arrangements for wind ensembles (numbering more than 200 at present) are performed throughout the world, often under his own direction. Rechtman’s arrangements have been published by various publishers including Edition Wilhelm Hansen, Belwin Mills Publishing Corp, June Emerson Wind Music, Accolade Musicverlag and McGinnis and Marx. In 2014 he began arranging Late Classical and Romantic concerti for chamber ensembles, published under his own company, Rechtman Concerto Reductions. Mordechai Rechtman’s composition teachers included Ödön Pártos, Hanoch Jacoby, Moshe Lustig and Zeev Steinberg.From 1985 to 1991, Rechtman served as the music director and conductor of the Israel Chamber Orchestra Wind Ensemble. A founding member of the Israel Woodwind Quintet, Mordechai Rechtman has recorded for several labels, including for Decca, Deutsche Grammophon, Koch International SONY Classics and Meridian RecordsFrom 1977-78 he was a guest professor at Indiana University School of Music, and from 1968-2002 was professor of music at the Rubin Academy of Tel-Aviv University.  As a guest professor he has taught bassoon, coached chamber music, and conducted large wind ensembles and orchestras at the New England Conservatory, The Juilliard School of Music, and the Royal Academy of Music, as well as other locations in Canada, Mexico, Australia and throughout Europe.  In August 1994, Mordechai Rechtman was unanimously elected Honorary Membership of the International Double Reed Society. Mordechai Rechtman is winner of the 2004 award of the Board of Trustees of the Minister of Education, Culture and Sports Prize of Music Performances for his special contribution to music in Israel. He also holds the IM (International Correspondence Chess Master) title of the International Correspondence Chess Federation."
"http://dbpedia.org/resource/Morgan_Harper_Nichols","Morgan Harper Nichols (born February 4, 1990, as Morgan Novelate Harper), is an American Christian musician, gospel music recording artist, songwriter and guitarist. Her first album, Morgan Harper Nichols, was released by Gotee Records in 2015. The albums first song, ""Storyteller"", was with her sister Jamie Grace featured on the track."
"http://dbpedia.org/resource/Morgan_Harper_Nichols","Morgan Harper Nichols (born February 4, 1990, as Morgan Novelate Harper), is an American Christian musician, gospel music recording artist, songwriter and guitarist. Her first album, Morgan Harper Nichols, was released by Gotee Records in 2015. The albums first song, ""Storyteller"", was with her sister Jamie Grace featured on the track."
"http://dbpedia.org/resource/Moses_Tyson,_Jr.","Moses James Tyson, Jr. (born May 21, 1961) is an American gospel musician and organist. He started his music career, in 1973, with learning how to play the guitar by ear in order to be utilized on a Sly Stone album, who is his cousin. His first album, I Made up My Mind, came out in 1992 with Curb Records, yet this did not chart. The second album, Music, released in 1999 by Alpine Records, and this placed on two Billboard magazine charts. His next album to chart, Music Remastered & Sacred Organ Music, was released in 2010 with World Class Gospel Records, and this charted upon the Billboard magazine Gospel Albums chart. He would go on tours playing the guitar and organ for the likes of Billy Preston, Timothy Wright."
"http://dbpedia.org/resource/Mr._Bill_(musician)","Bill Day (born 19 April 1988), better known by his moniker Mr. Bill, is an Australian musician, DJ and producer."
"http://dbpedia.org/resource/Mr._Envi'","Mr. Envi' (born Holland Dai'mon Witherspoon in Greensboro, Alabama) is an American rapper based out of Bossier City, Louisiana. He is the founder of Southern Stisles Records and owner of Hood Critic Magazine."
"http://dbpedia.org/resource/Myriam_de_la_Riva","Myriam de la Riva (born October 1940) is a Mexican artist known for her small scale works as well as portable murals. She was born in Mexico City to a European family in exile. She studied art in both Mexico and the United States as well as with a number of notable Mexican artists. The artist has had over fifty individual exhibitions and her work has been show in over 500 collective shows. Her work has been recognized with membership in the Salón de la Plástica Mexicana, among other awards."
"http://dbpedia.org/resource/Máté_Vida","Máté Vida (born 8 March 1996 in Budapest) is a Hungarian football player who currently plays for Vasas SC. He was also part of the Hungarian U-20 team at the 2015 FIFA U-20 World Cup."
"http://dbpedia.org/resource/Mārtiņš_Vilšķērsts","Mārtiņš Vilšķērsts""Raccoon"", artistic name Martin Vilskersts (born 26 March 1993 in Rīga) is a Latvian rock drummer.He is the drummer of the Latvian rock band Crow Mother."
"http://dbpedia.org/resource/N._S._Nandiesha_Reddy","N. S. Nandiesha Reddy  is an Indian Politician, Youth leader of the Karnataka Bharatiya Janata Party and a former Member of the Legislative Assembly (India) of Karnataka Assembly.He Started his career as a youth leader in 1991 and active in BJP since 1999.He is well known for his work in grass root level.Since 2001 he started conducting the party election blue print for all Jilla panchayath, taluk panchayath and council elections for Bangalore area. Party made him incharge of Varthur constituency for 2004 election as a reward for his hardwork. In 2008 elections Reddy got a chance to contest from Krishnarajapuram, Bangalore constituency and defeated former minister from Congress A.Krishnappa.In 2013 general elections Reddy gave a tough competition against B. A. Basavaraja of Indian National Congress."
